Catalogue_Number,Genus_species,Name_in_Tree,Species,Taxon_Rank,Vernacular_name,Institution,Institution_Code,Locality,Latitude,Longitude,Country,AUS_State
J53864,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J53904,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.582007,145.284241,Australia,Queensland
J53875,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J53873,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J53858,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.582007,145.284241,Australia,Queensland
J53901,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.582007,145.284241,Australia,Queensland
J53862,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J53905,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J65700,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Spurgeon,-16.452778,145.202778,Australia,Queensland
J53861,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.582007,145.284241,Australia,Queensland
J53863,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
J53876,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Lewis,-16.583333,145.283333,Australia,Queensland
